Main	Probabilité de gagner vs 1
22	0.5051
32o	0.3257
32s	0.3589
33	0.5339
42o	0.3306
42s	0.3607
43o	0.3521
43s	0.3761
44	0.5706
52o	0.3434
52s	0.3879
53o	0.3633
53s	0.3909
54o	0.3827
54s	0.4211
55	0.6036
62o	0.3435
62s	0.3773
63o	0.3572
63s	0.3983
64o	0.3878
64s	0.4153
65o	0.3976
65s	0.4294
66	0.6269
72o	0.3498
72s	0.3872
73o	0.3608
73s	0.3984
74o	0.3848
74s	0.4120
75o	0.4097
75s	0.4321
76o	0.4207
76s	0.4465
77	0.6596
82o	0.3721
82s	0.4073
83o	0.3680
83s	0.4095
84o	0.3934
84s	0.4359
85o	0.4046
85s	0.4445
86o	0.4342
86s	0.4652
87o	0.4493
87s	0.4831
88	0.7035
92o	0.3973
92s	0.4230
93o	0.3963
93s	0.4322
94o	0.4111
94s	0.4333
95o	0.4218
95s	0.4647
96o	0.4440
96s	0.4787
97o	0.4649
97s	0.5022
98o	0.4808
98s	0.5024
99	0.7217
A2o	0.5443
A2s	0.5737
A3o	0.5623
A3s	0.5801
A4o	0.5706
A4s	0.5988
A5o	0.5719
A5s	0.6042
A6o	0.5774
A6s	0.6009
A7o	0.5885
A7s	0.5976
A8o	0.6010
A8s	0.6232
A9o	0.6019
A9s	0.6296
AA	0.8575
AJo	0.6326
AJs	0.6532
AKo	0.6573
AKs	0.6724
AQo	0.6468
AQs	0.6634
ATo	0.6268
ATs	0.6534
J2o	0.4431
J2s	0.4754
J3o	0.4578
J3s	0.4714
J4o	0.4646
J4s	0.4932
J5o	0.4689
J5s	0.4883
J6o	0.4727
J6s	0.5117
J7o	0.4971
J7s	0.5197
J8o	0.5090
J8s	0.5334
J9o	0.5393
J9s	0.5535
JJ	0.7695
JTo	0.5566
JTs	0.5758
K2o	0.5006
K2s	0.5372
K3o	0.5147
K3s	0.5362
K4o	0.5238
K4s	0.5481
K5o	0.5424
K5s	0.5644
K6o	0.5456
K6s	0.5603
K7o	0.5492
K7s	0.5757
K8o	0.5594
K8s	0.5827
K9o	0.5742
K9s	0.5995
KJo	0.6095
KJs	0.6205
KK	0.8250
KQo	0.6153
KQs	0.6423
KTo	0.5984
KTs	0.6161
Q2o	0.4674
Q2s	0.5068
Q3o	0.4794
Q3s	0.5059
Q4o	0.4969
Q4s	0.5184
Q5o	0.5023
Q5s	0.5266
Q6o	0.5133
Q6s	0.5398
Q7o	0.5227
Q7s	0.5393
Q8o	0.5400
Q8s	0.5669
Q9o	0.5549
Q9s	0.5724
QJo	0.5818
QJs	0.6034
QQ	0.8028
QTo	0.5697
QTs	0.5971
T2o	0.4172
T2s	0.4459
T3o	0.4333
T3s	0.4623
T4o	0.4329
T4s	0.4696
T5o	0.4374
T5s	0.4673
T6o	0.4640
T6s	0.4907
T7o	0.4872
T7s	0.5081
T8o	0.4894
T8s	0.5149
T9o	0.5130
T9s	0.5374
TT	0.7531
